"","Study_No","No of arms","Study_year","Drug","Dose_range","No_randomised","Responders","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","hayasaka_ddd","ddd","jakubovski_ddd","Dose_delivered_mean","type","logRR","selogRR","logRRdrop","selogRRdrop","logRRdropAE","selogRRdropAE","sameDrug","exc","excdrop","excdropAE","exc","excdrop","excdropAE"
"224",97,2,2004,"placebo","Licensed",8,NA,NA,NA,NA,NA,NA,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"223",97,2,2004,"citalopram","Licensed",8,NA,NA,NA,NA,NA,NA,20,20,1.2,20,"cc",NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"230",100,2,2006,"placebo","Licensed",130,51,8,3,130,13,6.9,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"229",100,2,2006,"citalopram","Licensed",127,71,6,2,127,10.3,6.4,20,20,1.2,20,"cc",0.354201608313981,0.134632933337907,-0.26433470845479,0.525452512817598,-0.382117744111173,0.904304710754618,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"235",103,3,2004,"placebo","Licensed",126,47,28,7,124,-9.3,8.24,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"236",103,3,2004,"desvenlafaxine","Extremely high",124,73,34,25,121,-12.6,8.25,80,80,80,200,"cc",0.456312180784774,0.137746875885179,0.210156355787399,0.221641662046259,1.28896601715933,0.40848025508169,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"237",103,3,2004,"desvenlafaxine","Extremely high",125,69,33,26,124,-12.1,8.24,160,160,160,400,"cc",0.391927072536378,0.140829121389581,0.172271220940453,0.223787417163718,1.32015455861535,0.40667207106239,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"240",104,3,2008,"placebo","Licensed",152,66,25,4,150,-9.53,7.1,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"238",104,3,2008,"desvenlafaxine","Licensed",151,80,34,5,150,-11.5,7.1,20,20,20,50,"cc",0.198972576678808,0.120208365876933,0.314085383779313,0.237087116438599,0.229744235345562,0.660907358163977,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"239",104,3,2008,"desvenlafaxine","Licensed",148,75,31,11,147,-10.9,7.15,40,40,40,100,"cc",0.154501618592046,0.123081860400591,0.241779626699107,0.242739284811815,1.03826915876064,0.572340271852255,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
